gameId,gameDuration,blueWins,totalDamageDealtToChampionsDiff,totalVisionScoreDiff,totalGoldEarnedDiff,totalMinionsKilledDiff,totalNeutralMinionsKilledTeamJungleDiff,totalNeutralMinionsKilledEnemyJungleDiff,totalVisionWardsBoughtInGameDiff,totalWardsPlacedDiff,totalWardsKilledDiff,averageChampLevelDiff,teamKDA_Diff,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
4247263043.0,1323.0,False,-16977.0,-29.0,-12831.0,-93.0,5.0,-6.0,7.0,-12.0,-4.0,-1.6000000000000014,-5.406451612903226,success,fail,fail,neutral,fail,fail,-9.0,-1.0,0.0,-3.0,-2.0
4247155821.0,1317.0,True,16025.0,14.0,3936.0,-40.0,-34.0,-13.0,0.0,11.0,0.0,0.7999999999999989,5.407894736842105,fail,fail,neutral,neutral,success,success,2.0,0.0,0.0,2.0,2.0
4243963257.0,932.0,False,-6783.0,-22.0,-12435.0,-94.0,4.0,-21.0,2.0,-12.0,-2.0,-1.5999999999999996,-7.35,fail,fail,fail,neutral,fail,fail,-5.0,-1.0,0.0,-2.0,-2.0
4241678498.0,2098.0,False,-24259.0,6.0,-7081.0,-58.0,24.0,-10.0,6.0,33.0,-17.0,-0.8000000000000007,-2.181623931623932,fail,fail,neutral,success,success,fail,-4.0,0.0,0.0,-2.0,-1.0
4241538868.0,2344.0,True,3290.0,41.0,359.0,37.0,24.0,15.0,12.0,14.0,-8.0,-0.3999999999999986,-2.7055555555555553,success,success,success,success,success,success,5.0,2.0,1.0,-1.0,2.0
4241394461.0,1567.0,True,-4403.0,52.0,7941.0,21.0,-8.0,25.0,3.0,7.0,5.0,1.0,1.8333333333333335,success,success,success,neutral,fail,success,6.0,1.0,0.0,1.0,2.0
4233222221.0,1686.0,False,-8154.0,-34.0,-10925.0,-39.0,-23.0,-16.0,7.0,0.0,-3.0,-1.5999999999999996,-4.141129032258064,fail,success,fail,fail,fail,success,-5.0,-1.0,-1.0,-4.0,0.0
4233113995.0,1588.0,True,40315.0,55.0,11755.0,5.0,-9.0,37.0,1.0,3.0,11.0,1.5999999999999996,4.811111111111112,success,success,success,success,fail,fail,9.0,2.0,1.0,0.0,0.0
4231100932.0,1618.0,True,7405.0,56.0,8034.0,58.0,-20.0,-8.0,2.0,-7.0,24.0,0.3999999999999986,0.5307692307692307,success,success,success,success,fail,success,6.0,1.0,1.0,2.0,0.0
4229230455.0,1126.0,True,23653.0,-18.0,6950.0,25.0,14.0,11.0,0.0,-4.0,1.0,0.8000000000000007,3.709090909090909,fail,success,neutral,neutral,success,success,3.0,0.0,0.0,1.0,2.0
4228952659.0,1201.0,True,12846.0,52.0,17199.0,81.0,18.0,37.0,5.0,13.0,4.0,1.799999999999999,4.764444444444445,success,success,success,neutral,success,success,9.0,2.0,0.0,2.0,2.0
4228244819.0,1262.0,True,22070.0,12.0,7561.0,3.0,-14.0,3.0,1.0,6.0,-1.0,1.3999999999999986,7.857142857142858,fail,fail,success,neutral,success,fail,4.0,1.0,0.0,3.0,0.0
4227123625.0,1429.0,False,-10852.0,-42.0,-81.0,37.0,11.0,24.0,14.0,-14.0,-4.0,-0.8000000000000007,-8.090225563909774,success,success,neutral,neutral,fail,success,2.0,0.0,0.0,-3.0,2.0
4222795586.0,1628.0,True,11198.0,21.0,11309.0,91.0,12.0,19.0,10.0,-2.0,7.0,2.0,2.593506493506494,success,fail,success,success,fail,fail,7.0,1.0,1.0,2.0,0.0
4222632382.0,1692.0,False,-10009.0,-18.0,-7210.0,41.0,2.0,-19.0,2.0,10.0,-10.0,-0.6000000000000014,-2.583333333333333,fail,fail,fail,fail,fail,fail,-5.0,-1.0,-1.0,-4.0,-2.0
4219736584.0,1903.0,False,-13526.0,60.0,-8979.0,18.0,11.0,-16.0,1.0,-12.0,26.0,-1.4000000000000021,-2.4614614614614614,fail,success,fail,fail,success,fail,-7.0,-2.0,-2.0,-1.0,-2.0
4219647531.0,1381.0,True,30645.0,-7.0,11790.0,-52.0,5.0,41.0,6.0,-7.0,-6.0,2.0,6.681818181818182,success,success,success,success,success,success,7.0,2.0,1.0,1.0,2.0
4219545724.0,1313.0,False,-16837.0,-64.0,-3792.0,53.0,-18.0,2.0,1.0,-19.0,-7.0,-1.4000000000000004,-10.151515151515152,fail,success,neutral,neutral,fail,success,2.0,0.0,0.0,-2.0,1.0
